N1,N2,N3
1856,2604,389
1857,2638,559
1858,1553,1960
1859,2923,229
1860,3389,2618
1861,107,630
1862,180,110
1863,732,1916
1864,451,1302
1865,1283,464
1866,708,598
1867,1191,118
1868,1626,1783
1869,1701,1763
1870,1328,2563
1871,2012,22
1872,41,234
1873,4209,888
1874,385,262
1875,1085,717
1876,1532,1703
1877,3891,309
1878,739,80
1879,5175,618
1880,2278,173
1881,887,4919
1882,128,2935
1883,770,4773
1884,1800,1202
1885,20,3410
1886,241,3101
1887,3246,2166
1888,161,3959
1889,2115,65
1890,841,364
1891,4362,1168
1892,2772,584
1893,74,1843
1894,703,452
1895,1278,4035
1896,238,608
1897,60,1268
1898,1966,777
1899,1227,3070
1900,3248,100
1901,1324,153
1902,4710,833
1903,408,624
1904,1137,1688
1905,1113,4474
1906,1938,3248
1907,1097,34
1908,1748,2095
1909,254,3446
1910,2478,1212
1911,1462,716
1912,1122,1032
1913,3145,2689
1914,74,166
1915,3394,1574
1916,1619,2514
1917,1833,3034
1918,3426,2723
1919,779,1595
1920,2825,2320
1921,762,276
1922,1648,473
1923,595,1358
1924,382,603
1925,722,870
1926,4081,1312
1927,1114,167
1928,3127,2129
1929,2931,1750
1930,736,209
1931,344,905
1932,2417,215
1933,1219,686
1934,247,3381
1935,497,2056
1936,2924,3758
1937,2646,1458
1938,407,37
1939,432,3717
1940,3177,3854
1941,204,1700
1942,1478,1448
1943,1610,1156
1944,1986,2300
1945,4223,1945
1946,3213,1249
1947,3079,3580
1948,945,2186
1949,12,781
1950,2722,195
1951,2431,541
1952,695,3507
1953,1735,3242
1954,582,2172
1955,358,2492
1956,3411,71
1957,81,355
1958,2871,546
1959,1643,743
1960,2452,127
1961,2944,711
1962,726,1263
1963,2605,2506
1964,1464,1736
1965,3844,735
1966,1498,2560
1967,3754,3648
1968,4103,480
1969,203,1476
1970,2825,526
1971,3503,184
1972,328,1877
1973,15,2251
1974,3533,1974
1975,3094,1856
1976,446,2301
1977,3844,302
1978,237,251
1979,2925,227
1980,333,111
1981,1576,590
1982,3290,237
1983,796,5123
1984,1836,2224
1985,797,158
1986,3772,29
1987,321,1118
1988,3046,2613
1989,4714,4221
1990,97,615
1991,1376,950
1992,1516,27
1993,335,3898
1994,1953,3739
1995,3831,985
1996,1288,2195
1997,4346,1067
1998,2991,4378
1999,459,2948
2000,1190,356
2001,1410,3130
2002,220,937
2003,3095,1955
2004,636,152
2005,2580,227
2006,3975,1478
2007,768,671
2008,4091,3745
2009,702,432
2010,3920,2590
2011,4972,985
2012,2019,3147
2013,328,4396
2014,4233,201
2015,1585,2032
2016,618,1384
2017,135,983
2018,1485,4136
2019,2183,1455
2020,2181,29
2021,1092,2677
2022,1037,1891
2023,913,4245
2024,111,2457
2025,656,2746
2026,2388,177
2027,2565,337
2028,136,604
2029,5060,503
2030,138,3220
2031,1482,4087
2032,53,1585
2033,4236,858
2034,1019,3353
2035,474,3097
2036,936,4
2037,2002,2443
2038,4549,290
2039,12,2300
2040,502,17
2041,395,2917
2042,86,2232
2043,3594,3296
2044,1104,1596
2045,2845,1433
2046,2303,551
2047,2266,25
2048,4305,3744
2049,916,2450
2050,4991,927
2051,375,2234
2052,3822,2052
2053,1547,3213
2054,1551,3359
2055,1683,3825
2056,2998,283
2057,795,4452
2058,1376,1945
2059,4687,2845
2060,291,19
2061,4816,1306
2062,4923,1404
2063,2266,1417
2064,2481,4249
2065,1611,926
2066,2791,2163
2067,868,3120
2068,4722,1366
2069,761,1167
2070,1428,436
2071,853,14
2072,1298,2826
2073,922,1303
2074,2802,3852
2075,614,865
2076,1648,561
2077,3805,791
2078,362,4185
2079,1587,1542
2080,859,4927
2081,650,1044
2082,40,1910
2083,3796,2073
2084,3088,400
2085,1355,388
2086,3438,364
2087,99,485
2088,1385,1105
2089,840,856
2090,696,1276
2091,1377,461
2092,969,670
2093,3605,3436
2094,737,223
2095,81,1530
2096,4278,8
2097,782,75
2098,3978,575
2099,4219,72
2100,2063,2737
2101,3001,4669
2102,3475,44
2103,1397,2906
2104,603,154
2105,5,1068
2106,1910,2553
2107,552,1935
2108,1591,3345
2109,0,4167
2110,740,202
2111,513,1248
2112,12,2
2113,973,2651
2114,3597,124
2115,678,2089
2116,200,1048
2117,581,2994
2118,3239,998
2119,1230,171
2120,4418,828
2121,0,121
2122,1400,2315
2123,23,3754
2124,3667,1424
2125,204,1961
2126,3159,3644
2127,3214,653
2128,2305,4422
2129,214,66
2130,3090,1637
2131,1147,1339
2132,2886,543
2133,648,1491
2134,12,121
2135,510,318
2136,4010,543
2137,54,5007
2138,58,3390
2139,614,947
2140,1797,891
2141,2362,2184
2142,4396,432
2143,822,2795
2144,3185,1416
2145,93,4967
2146,6,1836
2147,2709,2006
2148,1789,2148
2149,3456,1067
2150,2708,2779
2151,76,566
2152,0,1202
2153,4913,3866
2154,2525,322
2155,452,168
2156,2442,1107
2157,2217,4485
2158,3820,3375
2159,408,674
2160,3224,1880
2161,600,60
2162,89,1442
2163,2545,1467
2164,2199,3050
2165,45,1044
2166,1937,1455
2167,410,882
2168,1036,1680
2169,6,416
2170,2111,836
2171,521,3776
2172,644,1442
2173,1819,83
2174,5126,2933
2175,25,2245
2176,147,3117
2177,240,273
2178,1503,561
2179,146,322
2180,1105,1155
2181,5119,693
2182,320,1688
2183,2455,1929
2184,948,58
2185,1283,1073
2186,1590,585
2187,350,2295
2188,1195,1816
2189,3835,2449
2190,831,519
2191,13,1971
2192,3651,722
2193,473,191
2194,1303,918
2195,44,3978
2196,2086,1033
2197,3229,153
2198,255,2098
2199,2164,2275
2200,544,437
2201,122,4211
2202,3188,4280
2203,1506,161
2204,4847,322
2205,833,4261
2206,3510,2434
2207,57,4954
2208,3592,564
2209,2224,334
2210,710,3319
2211,2292,181
2212,2735,1615
2213,3207,3062
2214,3781,639
2215,527,3294
2216,1419,4238
2217,3202,2217
2218,168,811
2219,2859,2160
2220,267,3669
2221,1401,1199
2222,3293,2230
2223,649,297
2224,640,883
2225,814,1143
2226,4656,326
2227,14,1099
2228,4780,34
2229,3252,2815
2230,1291,143
2231,2578,2297
2232,408,111
2233,3566,124
2234,4866,3369
2235,2540,93
2236,294,639
2237,240,153
2238,3157,3360
2239,364,89
2240,1112,213
2241,1340,3076
2242,448,4782
2243,1939,4776
2244,3684,406
2245,699,1149
2246,153,756
2247,3982,3551
2248,235,2118
2249,2789,546
2250,577,663
2251,1283,1274
2252,3481,1997
2253,679,3247
2254,2527,2023
2255,726,1573
2256,4150,3248
2257,2160,1392
2258,4396,1328
2259,4244,2606
2260,2927,224
2261,159,1162
2262,2889,94
2263,2995,385
2264,29,5000
2265,597,977
2266,730,578
2267,329,431
2268,3322,1981
2269,2465,278
2270,2594,1059
2271,2653,4218
2272,3362,993
2273,2326,720
2274,2315,2122
2275,4957,1111
2276,2274,3559
2277,519,3297
2278,52,2313
2279,1679,2982
2280,4745,920
2281,330,575
2282,11,654
2283,1871,660
2284,2807,2760
2285,110,849
2286,501,3713
2287,384,4195
2288,87,2010
2289,1259,206
2290,719,163
2291,1894,1540
2292,2417,2092
2293,1269,3151
2294,258,4022
2295,2943,20
2296,2009,1862
2297,4894,2532
2298,53,642
2299,73,586
2300,846,412
2301,310,383
2302,2642,132
2303,208,1203
2304,1222,902
2305,646,140
2306,1004,1538
2307,8,232
2308,2652,206
2309,3033,2415
2310,1907,2490
2311,3969,987
2312,1895,55
2313,4742,2778
2314,2409,3170
2315,2021,64
2316,3652,3446
2317,85,1148
2318,589,3067
2319,211,2030
2320,1452,916
2321,1258,2151
2322,820,827
2323,200,3407
2324,3521,3126
2325,4872,3480
2326,519,2272
2327,298,707
2328,1921,1670
2329,2006,2709
2330,451,1067
2331,830,130
2332,221,43
2333,4379,1691
2334,196,78
2335,1497,621
2336,36,1392
2337,1122,1941
2338,247,391
2339,1939,1328
2340,2263,795
2341,1845,1340
2342,22,777
2343,65,118
2344,2680,3438
2345,804,408
2346,2413,622
2347,828,2198
2348,876,3120
2349,1137,4120
2350,1489,127
2351,703,340
2352,95,1360
2353,2306,164
2354,612,1629
2355,829,1757
2356,2316,1182
2357,1520,1895
2358,4544,197
2359,914,637
2360,34,3627
2361,3516,0
2362,3881,4087
2363,510,754
2364,3385,2364
2365,879,131
2366,996,3220
2367,1692,1276
2368,3673,3936
2369,801,16
2370,2491,2356
2371,307,2663
2372,1182,4005
2373,1704,265
2374,3575,3802
2375,86,503
2376,828,4381
2377,1568,53
2378,826,819
2379,1667,259
2380,313,4112
2381,202,2209
2382,1211,846
2383,94,825
2384,639,267
2385,4761,237
2386,2541,3206
2387,1484,1783
2388,1958,3440
2389,439,33
2390,2679,1229
2391,2786,1120
2392,1509,2999
2393,212,710
2394,3936,3673
2395,572,1639
2396,4030,896
2397,363,3348
2398,1060,1353
2399,1614,3421
2400,3612,1141
2401,659,432
2402,76,2179
2403,483,3378
2404,301,162
2405,312,2995
2406,1539,761
2407,437,1006
2408,165,3174
2409,211,1528
2410,73,1108
2411,193,326
2412,351,1828
2413,1,809
2414,922,319
2415,25,1230
2416,119,156
2417,2820,4290
2418,750,1045
2419,636,385
2420,1498,627
2421,1166,357
2422,472,1073
2423,2616,4670
2424,889,1076
2425,1535,4161
2426,3614,2426
2427,4844,542
2428,2257,2300
2429,3639,1769
2430,4237,2430
2431,4405,1248
2432,4221,47
2433,4731,176
2434,1942,3489
2435,2972,3893
2436,3,1320
2437,3753,1451
2438,2111,1422
2439,5041,267
2440,2690,904
2441,521,443
2442,2883,3535
2443,310,170
2444,458,1137
2445,21,3087
2446,787,1425
2447,3908,2913
2448,922,13
2449,15,532
2450,600,448
2451,2108,96
2452,1671,723
2453,3992,3093
2454,4518,88
2455,1871,707
2456,290,228
2457,1622,749
2458,707,3608
2459,1524,3343
2460,352,369
2461,2917,1649
2462,350,1956
2463,787,1434
2464,1,12
2465,1064,1346
2466,3040,3056
2467,269,800
2468,55,937
2469,521,4376
2470,1363,898
2471,8,4184
2472,2183,2313
2473,992,4498
2474,4036,1369
2475,1436,719
2476,2647,4362
2477,3331,2477
2478,1799,1024
2479,539,1961
2480,1398,1726
2481,337,1368
2482,2846,62
2483,1456,448
2484,29,1934
2485,441,974
2486,1537,4971
2487,1242,41
2488,2657,480
2489,311,4505
2490,725,3718
2491,164,927
2492,869,1723
2493,2082,1727
2494,2205,2079
2495,300,690
2496,2262,2829
2497,2930,1257
2498,377,75
2499,1172,3817
2500,737,1282
2501,2164,3085
2502,2397,494
2503,463,3107
2504,4009,1313
2505,1982,4757
2506,791,3
2507,23,214
2508,1191,1199
2509,2078,266
2510,211,1258
2511,594,1860
2512,1889,1247
2513,538,3105
2514,1076,2142
2515,368,1965
2516,2990,2471
2517,418,430
2518,1684,1007
2519,713,3889
2520,1444,1254
2521,229,118
2522,3180,2625
2523,4017,3732
2524,2413,2346
2525,1601,1774
2526,412,1125
2527,493,3178
2528,1009,320
2529,1,4446
2530,3589,1646
2531,2825,3431
2532,680,2168
2533,733,812
2534,389,396
2535,3832,3137
2536,1599,4203
2537,2355,4542
2538,1846,1517
2539,47,3032
2540,4595,2540
2541,1864,1475
2542,477,3654
2543,3,3284
2544,407,557
2545,4110,929
2546,1,2488
2547,2890,63
2548,591,1006
2549,2238,1957
2550,504,70
2551,224,101
2552,61,435
2553,893,47
2554,94,378
2555,445,2201
2556,3781,127
2557,621,251
2558,690,55
2559,2672,3334
2560,990,4145
2561,4345,550
2562,1861,514
2563,3625,4066
2564,231,440
2565,31,1612
2566,14,4591
2567,12,1148
2568,399,564
2569,1731,4394
2570,328,2269
2571,372,1590
2572,173,228
2573,1529,210
2574,1140,1555
2575,82,1103
2576,4418,0
2577,869,420
2578,539,583
2579,2311,2095
2580,695,1556
2581,1912,4935
2582,4601,101
2583,4491,4600
2584,494,1180
2585,3953,1737
2586,1136,2311
2587,556,3865
2588,136,2194
2589,43,5048
2590,1681,1934
2591,1932,2708
2592,4024,54
2593,3774,1237
2594,172,13
2595,652,289
2596,1747,247
2597,1449,3999
2598,51,78
2599,1147,3573
2600,4346,4860
2601,859,683
2602,1659,4830
2603,183,569
2604,993,2364
2605,191,2540
2606,1372,10
2607,402,191
2608,319,4660
2609,2647,887
2610,2286,602
2611,3697,1155
2612,1978,4679
2613,3743,4697
2614,3612,786
2615,3213,193
2616,3189,408
2617,2930,3577
2618,692,3635
2619,488,4665
2620,1753,1733
2621,159,857
2622,1332,2871
2623,3123,4765
2624,53,3537
2625,3180,441
2626,221,0
2627,2093,925
2628,4131,2053
2629,4245,913
2630,831,3407
2631,2367,1519
2632,65,1114
2633,4092,1035
2634,3564,4602
2635,1643,2698
2636,2356,405
2637,397,2264
2638,621,931
2639,774,2756
2640,389,1029
2641,3550,3048
2642,3645,1785
2643,5,730
2644,1574,472
2645,2562,389
2646,926,2499
2647,2606,4279
2648,1788,2264
2649,112,2414
2650,4093,3509
2651,932,287
2652,1011,410
2653,4218,692
2654,441,1461
2655,1248,75
2656,440,271
2657,57,2472
2658,431,344
2659,187,1382
2660,3705,4498
2661,545,4183
2662,918,185
2663,3422,2124
2664,1194,585
2665,776,1112
2666,1115,2623
2667,185,155
2668,1103,69
2669,1592,367
2670,2469,569
2671,3130,291
2672,1750,1183
2673,67,2414
2674,4075,34
2675,619,14
2676,2496,1679
2677,1241,1479
2678,1579,1526
2679,339,1120
2680,1098,2267
2681,4097,699
2682,2628,726
2683,1133,5148
2684,1986,3117
2685,4158,375
2686,2653,581
2687,181,163
2688,87,1666
2689,488,999
2690,2285,248
2691,3764,0
2692,2762,2105
2693,533,3018
2694,3205,3890
2695,2180,3356
2696,3434,2582
2697,1625,71
2698,258,2943
2699,1912,767
2700,269,1461
2701,125,938
2702,1691,564
2703,385,2767
2704,2633,3750
2705,2359,3884
2706,488,2619
2707,664,638
2708,2704,2022
2709,1434,1172
2710,8,979
2711,143,2452
2712,1597,610
2713,678,4310
2714,16,1604
2715,3446,2750
2716,2251,602
2717,908,578
2718,1542,2496
2719,1771,319
2720,233,2646
2721,1423,1425
2722,195,1044
2723,2433,2567
2724,3719,2637
2725,845,1480
2726,900,3045
2727,261,836
2728,4431,2277
2729,2063,3144
2730,1385,27
2731,1677,2108
2732,3349,2764
2733,684,475
2734,702,1923
2735,1756,92
2736,1880,2474
2737,50,669
2738,96,182
2739,176,2597
2740,4275,1746
2741,4004,105
2742,2834,216
2743,137,1042
2744,1548,3345
2745,334,1
2746,76,290
2747,505,2479
2748,1381,836
2749,230,3175
2750,4631,4693
2751,2208,1986
2752,1924,3116
2753,2868,2913
2754,2433,70
2755,841,2601
2756,774,2934
2757,1024,230
2758,3598,1539
2759,1013,1157
2760,487,66
2761,5043,4136
2762,2000,1190
2763,357,218
2764,1322,3133
2765,225,748
2766,176,2108
2767,402,1530
2768,2628,3105
2769,180,4259
2770,3403,3521
2771,156,607
2772,1359,720
2773,955,632
2774,2971,605
2775,1341,2346
2776,5054,5122
2777,1135,1183
2778,1311,412
2779,4244,2254
2780,90,4000
2781,1394,4349
2782,882,1321
2783,3593,2602
2784,3802,1114
2785,4369,3742
2786,1862,218
2787,3621,1440
2788,622,1090
2789,820,262
2790,602,1117
2791,4719,651
2792,26,1975
2793,784,4652
2794,680,1051
2795,417,2319
2796,661,429
2797,3153,493
2798,107,193
2799,1505,157
2800,51,1454
2801,4554,4658
2802,293,74
2803,758,953
2804,616,219
2805,704,2607
2806,272,393
2807,1253,118
2808,538,1108
2809,839,1292
2810,380,1912
2811,2924,3758
2812,1762,641
2813,495,1914
2814,214,2397
2815,100,1831
2816,87,2635
2817,2226,55
2818,1970,1276
2819,316,1417
2820,1340,889
2821,547,1625
2822,4443,173
2823,1857,972
2824,889,67
2825,2825,28
2826,1383,97
2827,1318,3992
2828,21,115
2829,2151,315
2830,514,745
2831,4102,962
2832,338,64
2833,846,157
2834,431,1038
2835,2533,16
2836,2465,0
2837,492,1787
2838,883,2214
2839,943,1664
2840,140,904
2841,1893,4376
2842,1752,2003
2843,3139,178
2844,4020,1405
2845,2076,3788
2846,717,2023
2847,2420,153
2848,806,1072
2849,117,4432
2850,3747,2062
2851,637,603
2852,2782,1740
2853,792,614
2854,917,59
2855,5145,548
2856,3531,3826
2857,609,2049
2858,1103,1909
2859,125,3882
2860,2735,1671
2861,221,767
2862,1075,490
2863,830,477
2864,351,1364
2865,980,4969
2866,75,476
2867,4350,4354
2868,2788,2613
2869,2238,3381
2870,980,324
2871,2006,2871
2872,2549,3721
2873,467,1911
2874,1330,2690
2875,3223,131
2876,190,2865
2877,2057,3699
2878,3845,4375
2879,1624,1035
2880,2399,1198
2881,4128,1281
2882,4005,2882
2883,2442,667
2884,2879,3085
2885,948,2081
2886,1892,3135
2887,96,2887
2888,4466,2888
2889,287,254
2890,57,2890
2891,718,2933
2892,3208,1668
2893,2450,916
2894,39,2675
2895,23,2080
2896,19,559
2897,499,3792
2898,364,3003
2899,199,2095
2900,703,1431
2901,1797,4005
2902,1901,2962
2903,63,3926
2904,602,722
2905,28,949
2906,687,483
2907,1852,2498
2908,340,4814
2909,2516,450
2910,687,2298
2911,402,2406
2912,3212,432
2913,19,1354
2914,207,126
2915,359,1623
2916,980,300
2917,2547,113
2918,123,4
2919,2344,186
2920,3206,359
2921,53,670
2922,826,853
2923,262,1933
2924,1420,334
2925,758,304
2926,2205,3517
2927,1213,985
2928,904,97
2929,1240,748
2930,889,1255
2931,352,79
2932,3048,327
2933,898,2459
2934,942,3183
2935,3872,461
2936,3586,144
2937,689,1220
2938,3466,216
2939,1279,1126
2940,1737,4493
2941,2588,3905
2942,2254,2476
2943,1778,2943
2944,114,1623
2945,4064,844
2946,472,1396
2947,2686,1189
2948,2147,2065
2949,3512,125
2950,3132,160
2951,1151,1082
2952,762,512
2953,415,2579
2954,713,1
2955,127,2334
2956,3811,735
2957,1159,1125
2958,112,1022
2959,590,1861
2960,3293,2868
2961,164,388
2962,1501,2938
2963,818,224
2964,254,1287
2965,385,2158
2966,1156,2966
2967,2497,4460
2968,865,80
2969,4,261
2970,3082,519
2971,1619,651
2972,163,1927
2973,1744,3271
2974,2753,1926
2975,1551,767
2976,3146,80
2977,41,1934
2978,1289,2100
2979,3543,1654
2980,3405,1543
2981,21,938
2982,1430,2855
2983,587,771
2984,496,961
2985,746,515
2986,58,3935
2987,2608,1095
2988,953,3040
2989,97,1099
2990,2290,360
2991,1397,350
2992,4696,2992
2993,172,294
2994,1485,2018
2995,1019,338
2996,2869,1168
2997,4262,3374
2998,3421,1606
2999,27,4561
3000,241,1758
3001,231,3055
3002,1408,567
3003,4198,1815
3004,4621,3120
3005,1292,414
3006,2887,29
3007,100,16
3008,2587,3381
3009,17,2468
3010,1638,1188
3011,1590,4054
3012,633,412
3013,2005,4404
3014,73,3833
3015,951,1153
3016,211,3581
3017,684,2404
3018,1602,2559
3019,5140,1497
3020,1761,2072
3021,0,476
3022,57,1993
3023,33,29
3024,257,950
3025,25,1750
3026,2591,595
3027,1625,3027
3028,646,1087
3029,567,30
3030,1281,104
3031,218,290
3032,1177,4555
3033,332,2774
3034,3514,3241
3035,83,1226
3036,3617,37
3037,152,1383
3038,1858,3033
3039,61,1134
3040,4616,1058
3041,261,818
3042,137,408
3043,1054,480
3044,1194,687
3045,3360,623
3046,509,2120
3047,1534,3072
3048,3550,1215
3049,2476,1577
3050,912,676
3051,217,94
3052,1374,124
3053,2785,4369
3054,103,3748
3055,1933,3667
3056,1451,234
3057,1789,75
3058,1012,796
3059,4020,1050
3060,4415,330
3061,1015,4062
3062,684,4456
3063,2693,3806
3064,4474,1357
3065,1056,3196
3066,1715,923
3067,589,1588
3068,3772,2428
3069,767,3534
3070,1298,3448
3071,3667,1893
3072,5138,125
3073,1434,1776
3074,330,5020
3075,2014,443
3076,1262,1898
3077,870,85
3078,3970,3657
3079,1869,80
3080,115,580
3081,712,4270
3082,716,3567
3083,99,220
3084,4711,25
3085,1850,4766
3086,298,1277
3087,175,1165
3088,567,96
3089,266,3074
3090,1467,2277
3091,2843,278
3092,464,4352
3093,450,1113
3094,83,948
3095,3705,928
3096,2485,2010
3097,572,576
3098,433,423
3099,3174,420
3100,1275,603
3101,1331,1314
3102,2350,387
3103,421,408
3104,3637,44
3105,70,587
3106,3375,1777
3107,1092,5150
3108,289,44
3109,2233,228
3110,4731,896
3111,4472,838
3112,2488,147
3113,3863,1537
3114,1210,1773
3115,226,1557
3116,675,657
3117,405,2636
3118,316,1056
3119,434,4321
3120,16,124
3121,528,546
3122,1539,1463
3123,341,1718
3124,4242,2534
3125,1903,438
3126,2960,854
3127,1508,787
3128,762,3486
3129,227,322
3130,1127,4181
3131,662,659
3132,1406,1382
3133,3623,1068
3134,3678,2302
3135,876,975
3136,30,3754
3137,1738,1939
3138,546,2321
3139,173,3099
3140,2730,2089
3141,1876,1586
3142,415,3630
3143,86,205
3144,4792,1932
3145,3578,8
3146,3303,4911
3147,336,983
3148,145,2261
3149,4158,2764
3150,5065,3150
3151,4027,3124
3152,15,125
3153,2217,441
3154,2506,3146
3155,1533,518
3156,637,532
3157,1859,157
3158,2819,306
3159,625,836
3160,1235,842
3161,2826,1749
3162,4476,3565
3163,1106,1291
3164,4719,2859
3165,2437,1670
3166,1147,4451
3167,259,3301
3168,1093,2934
3169,4689,460
3170,1536,122
3171,131,1435
3172,561,1648
3173,1695,1630
3174,3834,420
3175,623,2253
3176,2833,507
3177,1342,2194
3178,2625,478
3179,103,3030
3180,555,1001
3181,2200,123
3182,109,4256
3183,773,4264
3184,4595,2540
3185,348,244
3186,219,610
3187,237,90
3188,3552,2850
3189,71,3411
3190,233,4802
3191,2114,28
3192,3141,178
3193,4138,513
3194,917,101
3195,1360,1201
3196,4683,2338
3197,40,118
3198,1110,262
3199,13,151
3200,658,335
3201,2376,4349
3202,768,179
3203,82,4191
3204,2937,4236
3205,2832,3555
3206,62,3689
3207,3536,533
3208,2069,115
3209,260,1926
3210,1597,824
3211,70,5006
3212,571,2728
3213,663,1622
3214,90,680
3215,4,4691
3216,594,1969
3217,3767,96
3218,2162,1314
3219,146,535
3220,3272,3220
3221,650,214
3222,1222,272
3223,154,2114
3224,795,3080
3225,630,1370
3226,4650,3555
3227,1788,211
3228,111,2409
3229,5099,181
3230,3235,112
3231,374,26
3232,3840,581
3233,191,1780
3234,77,4181
3235,3478,1938
3236,14,207
3237,5094,275
3238,577,687
3239,2232,797
3240,183,1559
3241,4010,400
3242,4895,591
3243,176,1083
3244,3189,2338
3245,3207,321
3246,2689,3975
3247,936,399
3248,1900,103
3249,646,3469
3250,2650,222
3251,778,902
3252,2938,3466
3253,2047,2008
3254,3588,922
3255,3684,3360
3256,3385,2066
3257,4679,3544
3258,1690,3057
3259,104,2184
3260,764,4
3261,27,851
3262,203,632
3263,2046,3849
3264,22,367
3265,111,2310
3266,4721,3266
3267,815,511
3268,789,681
3269,2352,2160
3270,1801,112
3271,183,183
3272,1762,88
3273,1384,2358
3274,574,434
3275,2250,119
3276,3950,1164
3277,863,256
3278,882,2291
3279,2584,4366
3280,85,1550
3281,2210,688
3282,1416,3373
3283,1633,895
3284,132,382
3285,2951,729
3286,1591,2820
3287,9,1238
3288,296,4081
3289,2761,3124
3290,1629,734
3291,301,273
3292,2695,4218
3293,773,39
3294,883,3308
3295,3001,2254
3296,887,16
3297,4118,1692
3298,1939,71
3299,2281,2680
3300,26,2387
3301,911,1684
3302,2884,1206
3303,29,1055
3304,3490,409
3305,1145,962
3306,3595,2831
3307,1520,4612
3308,904,2137
3309,2694,37
3310,1397,1240
3311,2661,4919
3312,4354,330
3313,4147,1035
3314,240,1717
3315,1759,2128
3316,5009,113
3317,183,1269
3318,275,4167
3319,4995,4332
3320,47,458
3321,101,7
3322,1392,3611
3323,374,2905
3324,863,130
3325,111,720
3326,4681,2783
3327,25,714
3328,9,3606
3329,53,340
3330,4888,984
3331,1107,4868
3332,153,2279
3333,1419,1068
3334,21,321
3335,2535,4672
3336,1049,153
3337,3270,1443
3338,91,1190
3339,1504,301
3340,1580,62
3341,4764,4341
3342,564,1635
3343,868,877
3344,3513,1201
3345,1885,175
3346,927,2377
3347,4661,3347
3348,3755,4533
3349,2732,958
3350,2024,2246
3351,3141,3534
3352,1098,424
3353,4463,1869
3354,2688,3534
3355,1556,381
3356,914,1084
3357,158,470
3358,2755,243
3359,2600,2654
3360,1262,634
3361,2869,3190
3362,760,2571
3363,1883,4377
3364,684,1519
3365,529,487
3366,149,542
3367,74,4246
3368,3666,2235
3369,1617,1130
3370,2811,2924
3371,2635,2830
3372,163,2777
3373,1928,3801
3374,2997,4247
3375,2880,1692
3376,1407,3567
3377,906,2282
3378,1075,4682
3379,777,639
3380,575,813
3381,247,913
3382,1567,1766
3383,3655,4051
3384,465,2311
3385,1314,3225
3386,1212,2005
3387,2647,2751
3388,74,3111
3389,1860,5108
3390,1589,2996
3391,306,63
3392,2178,554
3393,185,2403
3394,1059,133
3395,1497,351
3396,1380,1565
3397,1718,112
3398,493,1677
3399,1045,3847
3400,4233,3785
3401,2434,1348
3402,668,2389
3403,2586,3403
3404,821,1784
3405,602,218
3406,1527,1572
3407,37,495
3408,3976,1622
3409,866,1272
3410,67,1947
3411,52,313
3412,708,1952
3413,626,94
3414,308,385
3415,757,120
3416,218,1606
3417,1795,1711
3418,2035,2175
3419,47,430
3420,2285,1
3421,3348,3737
3422,252,981
3423,6,2705
3424,770,1608
3425,3692,2347
3426,933,44
3427,3882,36
3428,3424,3668
3429,50,214
3430,1137,747
3431,1185,707
3432,138,3986
3433,147,943
3434,3452,285
3435,178,2369
3436,885,3424
3437,2635,740
3438,5001,3596
3439,1593,3439
3440,985,580
3441,3233,149
3442,165,4272
3443,1293,129
3444,401,262
3445,1820,6
3446,254,2789
3447,604,1558
3448,4111,3098
3449,4641,4740
3450,2328,1187
3451,957,834
3452,3859,4444
3453,3753,4078
3454,2656,1915
3455,317,1181
3456,87,2647
3457,714,1977
3458,453,1422
3459,1155,3939
3460,767,762
3461,731,1217
3462,2917,7
3463,1640,1320
3464,4625,2317
3465,1142,22
3466,1793,3893
3467,382,675
3468,3913,274
3469,483,2086
3470,2269,1973
3471,790,589
3472,459,130
3473,4800,1947
3474,2307,2591
3475,1073,3143
3476,1589,3476
3477,1023,915
3478,2571,292
3479,4271,3354
3480,4872,7
3481,2764,3349
3482,2668,982
3483,1040,884
3484,51,2431
3485,422,775
3486,4491,4277
3487,240,2173
3488,2,5180
3489,4183,963
3490,2222,3126
3491,1293,691
3492,2354,989
3493,20,4168
3494,48,4862
3495,2472,460
3496,3467,3177
3497,1077,2171
3498,215,71
3499,844,4604
3500,3304,2788
3501,4318,22
3502,3584,3502
3503,2099,1544
3504,403,531
3505,147,2571
3506,238,895
3507,1015,1001
3508,1680,62
3509,802,663
3510,3296,1305
3511,2315,47
3512,569,2189
3513,2770,773
3514,2943,20
3515,1436,980
3516,2693,3176
3517,2234,2010
3518,1990,2657
3519,955,144
3520,157,308
3521,2831,2586
3522,5052,1882
3523,154,836
3524,305,3586
3525,1293,2280
3526,1487,1567
3527,2887,0
3528,529,4524
3529,1524,1312
3530,2503,3789
3531,833,1089
3532,10,2577
3533,204,2101
3534,2688,1850
3535,319,37
3536,478,166
3537,95,638
3538,3475,359
3539,1315,2117
3540,1584,3738
3541,3409,4181
3542,1176,3396
3543,2506,528
3544,4040,517
3545,1722,4771
3546,468,358
3547,3711,731
3548,135,72
3549,2583,87
3550,1168,1551
3551,1458,1775
3552,1524,1465
3553,1464,1130
3554,4551,2573
3555,2853,646
3556,1826,554
3557,3394,1440
3558,201,3446
3559,405,1141
3560,3479,2576
3561,642,1690
3562,1308,325
3563,455,1451
3564,2529,4982
3565,1201,2753
3566,124,445
3567,3462,2039
3568,3210,2831
3569,4504,1249
3570,4736,39
3571,1201,3500
